Date,Temperature(C),Dewpoint(C),Humidity(%),Barometer(hPa),Visibility(km),Wind Direction(degree),Wind Speed(km/h),Events,Conditions
13/03/2016 00:03,14,13,94,1007.5,1.6,South(170),5.6,,Overcast
13/03/2016 00:26,13,13,100,1007.5,1.3,Calm,,,Overcast
13/03/2016 00:35,13,5,58,1015.9,16.1,East(100),7.4,Rain,Light Rain
13/03/2016 00:51,13.3,4.4,55,1015.6,16.1,East(90),7.4,,Overcast
13/03/2016 00:51,13.3,13.3,100,1007.5,1.3,Calm,,,Overcast
13/03/2016 00:53,13,13,100,1007.5,2.9,Calm,,,Overcast
13/03/2016 01:51,12.8,4.4,57,1015.2,16.1,East(100),11.1,Rain,Light Rain
13/03/2016 03:51,11.1,6.1,71,1014.6,6.4,East(80),5.6,Rain,Rain
13/03/2016 04:23,11,7,76,1014.2,16.1,ESE(110),5.6,,Overcast
13/03/2016 04:51,10.6,7.2,80,1013.9,11.3,NE(50),9.3,Rain,Light Rain
13/03/2016 05:38,10,7,82,1013.5,9.7,East(80),11.1,Rain,Rain
13/03/2016 05:51,10,7.8,86,1013.5,8,NNE(30),7.4,Rain,Rain
13/03/2016 06:07,10,8,87,1013.5,6.4,NE(50),9.3,Rain,Rain
13/03/2016 06:32,10,9,94,1013.5,11.3,NNE(20),9.3,Rain,Rain
13/03/2016 06:51,10,8.9,93,1013.9,16.1,NNE(20),7.4,Rain,Light Rain
13/03/2016 07:51,9.4,8.3,93,1013.2,12.9,ENE(70),14.8,Rain,Light Rain
13/03/2016 08:03,9,8,93,1013.2,12.9,ENE(70),16.7,Rain,Light Rain
13/03/2016 08:12,10,8,87,1013.2,11.3,ENE(70),14.8,Rain,Light Rain
13/03/2016 08:51,10,8.9,93,1013.5,3.2,ENE(70),5.6,Rain,Heavy Rain
13/03/2016 08:54,10,9,94,1013.9,2.9,SSW(200),11.1,Rain,Heavy Rain
13/03/2016 09:13,10,9,94,1013.2,4,ESE(120),11.1,Rain,Rain
13/03/2016 09:20,10,9,94,1012.9,4.8,East(80),11.1,Rain,Rain
13/03/2016 09:27,10,9,94,1012.9,6.4,SE(130),14.8,Rain,Light Rain
13/03/2016 09:51,10.6,9.4,92,1012.5,14.5,East(90),13,Rain,Light Rain
13/03/2016 10:51,11.7,10,89,1012.2,16.1,East(100),14.8,,Overcast
13/03/2016 11:09,12,11,94,1011.9,16.1,East(90),14.8,,Mostly Cloudy
13/03/2016 11:41,12,11,94,1011.5,16.1,East(90),14.8,,Overcast
13/03/2016 11:51,12.2,10,86,1011.5,16.1,East(90),16.7,Rain,Light Rain
13/03/2016 12:22,13,11,88,1011.2,16.1,East(90),13,,Overcast
13/03/2016 12:38,13,11,88,1010.8,16.1,East(100),13,,Overcast
13/03/2016 12:51,12.2,10,86,1010.5,16.1,East(90),16.7,,Overcast
13/03/2016 13:51,12.2,10.6,90,1010.2,11.3,East(100),11.1,Rain,Light Rain
13/03/2016 14:51,12.8,11.1,89,1008.8,12.9,East(100),18.5,,Overcast
13/03/2016 15:25,13,11,88,1008.8,9.7,East(90),13,,Overcast
13/03/2016 15:51,12.8,11.7,93,1008.5,11.3,East(90),13,,Overcast
13/03/2016 16:51,12.8,10.6,86,1008.5,11.3,East(90),13,,Overcast
13/03/2016 17:40,13,11,88,1008.1,4,ESE(110),11.1,Rain,Light Rain
13/03/2016 17:43,13,11,88,1008.1,4.8,ESE(110),7.4,Rain,Light Rain
13/03/2016 17:51,12.8,11.1,89,1008.1,4.8,East(100),9.3,Rain,Light Rain
13/03/2016 18:33,13,12,94,1007.8,4,East(90),7.4,Rain,Light Rain
13/03/2016 18:45,13,12,94,1007.5,4.8,East(90),9.3,Rain,Light Rain
13/03/2016 18:51,12.8,11.7,93,1007.5,4.8,East(100),9.3,Rain,Light Rain
13/03/2016 18:58,13,12,94,1007.5,2.4,East(100),9.3,Rain,Light Rain
13/03/2016 19:06,13,12,94,1007.5,1.6,East(90),7.4,Rain,Light Rain
13/03/2016 19:12,13,12,94,1007.5,2.4,East(90),11.1,Rain,Light Rain
13/03/2016 19:17,13,12,94,1007.5,4.8,East(100),11.1,Rain,Light Rain
13/03/2016 19:51,12.8,12.2,96,1007.5,11.3,East(100),9.3,,Overcast
13/03/2016 20:51,13.3,12.2,93,1007.5,9.7,ESE(120),11.1,Rain,Light Rain
13/03/2016 21:23,13,13,100,1007.5,9.7,South(180),5.6,,Overcast
13/03/2016 21:37,13,13,100,1007.5,11.3,Variable,5.6,,Overcast
13/03/2016 21:51,13.3,12.8,97,1007.8,9.7,Calm,,,Overcast
13/03/2016 22:29,14,13,94,1007.5,8,SE(140),5.6,,Overcast
13/03/2016 22:51,13.9,12.8,93,1007.5,6.4,SSE(160),9.3,,Overcast
13/03/2016 23:29,14,13,94,1007.5,6.4,South(180),7.4,,Overcast
13/03/2016 23:51,13.9,13.9,100,1007.5,6.4,South(180),7.4,,Overcast
14/03/2016 00:03,14,13,94,1007.5,1.6,South(170),5.6,,Overcast
