Local Time,Temperature (C),Dewpoint  (C),Humidity (%),Barometer (hPa),Visibility (km),Wind Direction (degree),Wind Speed (km),Events,Conditions
13/03/2016 00:20,2,1,93,1032.2,1.4,Calm,,,Scattered Clouds
13/03/2016 00:50,1,1,100,1032.2,1,East (90),3.7,Fog,Fog
13/03/2016 01:20,2,2,100,1033.2,0.2,ENE (70),5.6,Fog,Fog
13/03/2016 01:50,2,2,100,1033.2,0.2,ENE (60),7.4,Fog,Fog
13/03/2016 02:20,2,2,100,1033.2,0.3,NE (50),9.3,Fog,Fog
13/03/2016 02:50,2,2,100,1033.2,0.3,NNE (30),11.1,Fog,Fog
13/03/2016 03:20,2,2,100,1033.2,0.8,NE (40),11.1,Fog,Fog
13/03/2016 03:50,2,1,93,1033.2,1,NNE (20),5.6,Fog,Fog
13/03/2016 04:20,1,1,100,1033.2,1,Variable,3.7,Fog,Fog
13/03/2016 04:50,1,1,100,1033.2,1.8,ENE (60),5.6,,Overcast
13/03/2016 05:20,2,2,100,1033.2,1.4,NNE (30),7.4,,Overcast
13/03/2016 05:50,2,2,100,1033.2,1.8,North (10),7.4,,Mostly Cloudy
13/03/2016 06:20,2,2,100,1033.2,1.9,NNW (340),9.3,,Mostly Cloudy
13/03/2016 06:50,2,2,100,1034.2,2.6,NNW (340),11.1,,Mostly Cloudy
13/03/2016 07:20,3,3,100,1034.2,1.9,North (360),11.1,,Mostly Cloudy
13/03/2016 07:50,4,3,93,1034.2,1.9,NE (40),14.8,,Mostly Cloudy
13/03/2016 08:20,5,4,93,1034.2,2.3,NE (40),11.1,,Haze
13/03/2016 08:50,5,4,93,1034.2,2.6,NE (50),14.8,,Haze
13/03/2016 09:20,5,3,87,1035.2,,NE (50),18.5,,Haze
13/03/2016 09:50,6,3,81,1035.2,6,NE (50),18.5,,Scattered Clouds
13/03/2016 10:20,6,3,81,1035.2,6,NE (50),18.5,,Mostly Cloudy
13/03/2016 10:50,7,3,76,1034.2,6.9,NE (50),18.5,,Scattered Clouds
13/03/2016 11:20,8,3,71,1034.2,8,ENE (70),20.4,,Partly Cloudy
13/03/2016 11:50,9,3,66,1034.2,9,ENE (60),18.5,,Partly Cloudy
13/03/2016 12:20,10,2,58,1034.2,10,ENE (70),20.4,,Partly Cloudy
13/03/2016 12:50,10,2,58,1034.2,10,NE (40),24.1,,Partly Cloudy
13/03/2016 13:20,10,2,58,1034.2,10,NE (40),22.2,,Partly Cloudy
13/03/2016 13:50,10,2,58,1033.2,10,NE (50),22.2,,Partly Cloudy
13/03/2016 14:20,10,2,58,1033.2,10,NE (40),24.1,,Partly Cloudy
13/03/2016 14:50,9,2,62,1033.2,,NE (50),29.6,,Clear
13/03/2016 15:20,8,1,62,1033.2,,NE (50),27.8,,Clear
13/03/2016 15:50,7,1,66,1033.2,10,NE (50),22.2,,Partly Cloudy
13/03/2016 16:20,6,1,70,1033.2,10,NE (50),22.2,,Partly Cloudy
13/03/2016 16:50,6,1,70,1033.2,10,NE (40),25.9,,Partly Cloudy
13/03/2016 17:20,5,1,76,1034.2,10,NE (50),22.2,,Partly Cloudy
13/03/2016 17:50,4,1,81,1034.2,10,NE (50),22.2,,Partly Cloudy
13/03/2016 18:20,4,1,81,1034.2,10,NE (40),22.2,,Partly Cloudy
13/03/2016 18:50,4,1,81,1034.2,9,ENE (60),14.8,,Partly Cloudy
13/03/2016 19:20,4,1,81,1034.2,9,NE (50),16.7,,Scattered Clouds
13/03/2016 19:50,4,1,81,1034.2,9,NE (50),20.4,,Partly Cloudy
13/03/2016 20:20,4,1,81,1034.2,8,NE (50),16.7,,Partly Cloudy
13/03/2016 20:50,4,1,81,1034.2,8,NE (50),16.7,,Scattered Clouds
13/03/2016 21:20,4,1,81,1034.2,8,NE (50),20.4,,Mostly Cloudy
13/03/2016 21:50,4,2,87,1034.2,8,NE (40),20.4,,Mostly Cloudy
13/03/2016 22:20,4,2,87,1034.2,8,NE (40),14.8,,Scattered Clouds
13/03/2016 22:50,4,2,87,1034.2,6,NE (40),16.7,,
13/03/2016 23:20,4,2,87,1034.2,6,NNE (30),16.7,,Scattered Clouds
13/03/2016 23:50,4,2,87,1034.2,6,NNE (30),16.7,,Mostly Cloudy
14/03/2016 00:20,4,2,87,1033.2,6,NNE (30),16.7,,Mostly Cloudy
14/03/2016 00:50,5,3,87,1033.2,6,NE (40),16.7,,Mostly Cloudy
14/03/2016 01:20,5,3,87,1033.2,6,NE (40),11.1,,Mostly Cloudy
14/03/2016 01:50,5,3,87,1033.2,6,NE (40),16.7,,Mostly Cloudy
14/03/2016 02:20,5,3,87,1033.2,6.9,NE (40),20.4,,Mostly Cloudy
14/03/2016 02:50,5,3,87,1033.2,6.9,NE (40),20.4,,Scattered Clouds
14/03/2016 03:20,5,3,87,1032.2,8,NE (40),18.5,,Scattered Clouds
14/03/2016 03:50,4,2,87,1032.2,8,NE (50),13,,Scattered Clouds
14/03/2016 04:20,4,2,87,1033.2,8,NE (40),16.7,,Scattered Clouds
14/03/2016 04:50,4,2,87,1032.2,8,NE (50),16.7,,Scattered Clouds
14/03/2016 05:20,4,2,87,1032.2,8,NE (40),16.7,,Partly Cloudy
14/03/2016 05:50,3,1,87,1032.2,8,NE (40),16.7,,
14/03/2016 06:20,4,1,81,1032.2,10,NE (40),14.8,,Scattered Clouds
14/03/2016 06:50,4,2,87,1033.2,10,NE (40),18.5,,Scattered Clouds
14/03/2016 07:20,5,2,81,1033.2,8,NE (50),14.8,,Mostly Cloudy
14/03/2016 07:50,5,2,81,1033.2,8,NE (50),20.4,,Mostly Cloudy
14/03/2016 08:20,5,2,81,1033.2,6.9,NE (50),25.9,,Mostly Cloudy
14/03/2016 08:50,6,2,76,1033.2,8,ENE (60),24.1,,Mostly Cloudy
