Local Time,Temperature (C),Dewpoint (C),Humidity (%),Barometer (hPa),Visibility (km),Wind Direction (degree),Wind Speed (km/h),Events,Conditions
13/03/2016 06:47,13,13,100,1017.6,11.3,SSE (150),13,Rain,Rain
13/03/2016 07:47,13,13,100,1017.6,11.3,SE (130),18.5,Rain,Rain
13/03/2016 08:47,13,13,100,1017.6,8,SE (130),20.4,Rain,Rain
13/03/2016 09:47,13,13,100,1018.3,11.3,SSE (150),18.5,Rain,Rain
13/03/2016 10:53,14,13,94,1018.3,11.3,SSE (150),18.5,Rain,Light Rain
13/03/2016 11:47,14,13,94,1018.3,11.3,SE (130),9.3,Rain,Rain
13/03/2016 12:47,14,14,100,1017.6,11.3,SE (140),14.8,Rain,Light Rain
13/03/2016 14:47,15,14,94,1016.6,9.7,SSE (150),18.5,Rain,Rain
13/03/2016 15:47,15,13,88,1015.9,11.3,SW (220),13,,Overcast
13/03/2016 16:47,15,13,88,1015.9,11.3,SW (230),18.5,,Overcast
13/03/2016 18:47,16,13,82,1016.3,16.1,SE (140),9.3,,Overcast
13/03/2016 19:47,15,13,88,1016.3,16.1,Calm,,,Overcast
13/03/2016 20:47,14,14,100,1016.9,16.1,Calm,,,Overcast
14/03/2016 06:47,12,10,88,1021.3,16.1,Variable,7.4,,Mostly Cloudy
14/03/2016 07:47,12,10,88,1022.4,16.1,Variable,7.4,,Mostly Cloudy
14/03/2016 08:47,13,10,82,1023,16.1,Calm,,,Mostly Cloudy
14/03/2016 09:47,15,9,67,1024,16.1,Variable,9.3,,Mostly Cloudy
14/03/2016 10:47,15,10,72,1024.7,16.1,Variable,9.3,,Mostly Cloudy
14/03/2016 12:47,16,7,55,1025.1,16.1,North (360),18.5,,Mostly Cloudy
14/03/2016 13:47,16,9,63,1024.4,16.1,NW (320),20.4,,Mostly Cloudy
14/03/2016 14:47,17,9,59,1024.4,16.1,NW (320),24.1,,Mostly Cloudy
14/03/2016 15:47,17,7,52,1024.4,16.1,NNW (330),22.2,,Scattered Clouds
14/03/2016 16:47,16,6,52,1024.4,16.1,NW (310),27.8,,Scattered Clouds
14/03/2016 17:47,16,5,48,1024,16.1,NW (320),18.5,,Scattered Clouds
14/03/2016 18:47,14,5,55,1024.4,16.1,NW (310),18.5,,Scattered Clouds
14/03/2016 19:47,13,7,67,1024.4,16.1,West (280),14.8,,Partly Cloudy
14/03/2016 20:47,12,7,72,1024.4,16.1,West (280),14.8,,Partly Cloudy
15/03/2016 06:47,6,5,93,1024.4,16.1,Variable,7.4,,Partly Cloudy
15/03/2016 07:47,6,6,100,1025.1,16.1,Calm,,,Overcast
15/03/2016 08:47,10,7,82,1025.4,16.1,Calm,,,Clear
15/03/2016 09:47,13,8,72,1025.7,16.1,Variable,7.4,,Clear
15/03/2016 10:47,15,10,72,1025.7,16.1,North (350),14.8,,Clear
15/03/2016 12:47,17,9,59,1025.1,16.1,North (10),13,,Clear
15/03/2016 14:47,19,9,52,1023,16.1,WNW (300),22.2,,Clear
15/03/2016 16:47,19,9,52,1021.7,16.1,NW (320),27.8,,Clear
15/03/2016 17:47,18,8,52,1021.3,16.1,WNW (300),20.4,,Clear
15/03/2016 18:47,17,7,52,1021.3,16.1,WNW (300),18.5,,Clear
15/03/2016 19:47,15,3,45,1021.3,16.1,NNW (340),13,,Clear
15/03/2016 20:47,12,6,67,1021.3,16.1,West (270),11.1,,Clear
16/03/2016 06:47,6,4,87,1020.3,48.3,Calm,,,Partly Cloudy
16/03/2016 07:47,7,5,87,1020.3,48.3,Calm,,,Partly Cloudy
16/03/2016 08:47,12,8,77,1020.7,48.3,Calm,,,Partly Cloudy
16/03/2016 09:47,15,9,67,1020.3,48.3,Calm,,,Partly Cloudy
16/03/2016 10:47,17,9,59,1020.7,48.3,Calm,,,Partly Cloudy
16/03/2016 11:47,19,7,46,1020,48.3,Calm,,,Partly Cloudy
16/03/2016 12:47,20,8,46,1019.3,48.3,Calm,,,Partly Cloudy
16/03/2016 14:47,22,9,43,1017.6,48.3,NNW (340),14.8,,Clear
16/03/2016 15:47,22,8,41,1016.6,48.3,NNW (340),14.8,,Clear
16/03/2016 19:47,13,8,72,1015.6,48.3,North (350),14.8,,Clear
16/03/2016 20:47,15,12,82,1015.9,48.3,North (350),14.8,,Clear
17/03/2016 06:47,9,7,87,1014.2,48.3,Calm,,,Clear
17/03/2016 07:47,10,8,87,1014.2,48.3,Calm,,,Clear
17/03/2016 08:47,16,11,72,1014.6,48.3,Calm,,,Clear
17/03/2016 09:47,15,11,77,1014.6,48.3,Calm,,,Clear
17/03/2016 10:47,19,9,52,1014.6,48.3,Calm,,,Clear
17/03/2016 14:47,25,13,47,1012.9,48.3,Variable,11.1,,Clear
17/03/2016 15:47,26,12,42,1012.2,16.1,NNW (340),16.7,,Clear
17/03/2016 16:47,25,13,47,1011.9,16.1,NNW (330),9.3,,Clear
17/03/2016 17:47,24,13,50,1011.9,32.2,NNW (330),9.3,,Clear
17/03/2016 19:55,19,12,64,1012.5,32.2,NNW (340),18.5,,Clear
17/03/2016 20:47,16,12,77,1012.9,32.2,NNW (340),13,,Clear
