Date,Temperature(C),Dewpoint(C),Humidity(%),Barometer(hPa),Visibility(km),Wind Direction(degree),Wind Speed(km/h),Events,Conditions
13/03/2016 00:53,6.7,5,89,1007.5,16.1,ESE(120),18.5,Rain,Light Rain
13/03/2016 00:53,6.1,2.8,80,1005.8,16.1,SSW(200),22.2,,Mostly Cloudy
13/03/2016 01:53,6.7,4.4,85,1006.4,16.1,East(100),16.7,Rain,Light Rain
13/03/2016 03:53,6.1,5,93,1005.4,16.1,ESE(110),24.1,Rain,Light Rain
13/03/2016 04:53,6.7,4.4,85,1003.7,16.1,ESE(120),22.2,,Overcast
13/03/2016 05:53,6.1,3.9,86,1002,16.1,ESE(110),25.9,,Overcast
13/03/2016 06:53,6.1,3.9,86,1000.3,14.5,ESE(120),25.9,Rain,Light Rain
13/03/2016 07:53,6.1,5.6,97,998,9.7,ESE(120),25.9,Rain,Light Rain
13/03/2016 08:53,6.1,5.6,97,995.6,12.9,ESE(120),29.6,Rain,Light Rain
13/03/2016 09:53,6.7,5.6,93,994.9,11.3,ESE(120),27.8,Rain,Rain
13/03/2016 10:53,8.3,7.2,93,995.3,8,SE(130),25.9,Rain,Rain
13/03/2016 11:09,10,8.9,93,995.3,16.1,South(170),35.2,Rain,Light Rain
13/03/2016 11:45,10,8.9,93,995.9,11.3,South(180),31.5,Rain,Light Rain
13/03/2016 11:53,10,8.9,93,996.3,11.3,SSW(200),33.3,Rain,Light Rain
13/03/2016 12:53,11.1,8.9,86,997.6,16.1,SW(220),42.6,Rain,Light Rain
13/03/2016 13:53,11.7,6.1,69,998.3,16.1,SSW(210),38.9,,Mostly Cloudy
13/03/2016 14:16,10.6,5.6,71,998.3,12.9,SSW(210),29.6,Rain,Light Rain
13/03/2016 14:46,8.9,5,77,999.3,9.7,West(260),27.8,Rain,Light Rain
13/03/2016 14:53,9.4,5,74,999,9.7,WSW(250),16.7,Rain,Light Rain
13/03/2016 15:09,11.1,6.1,71,999.3,16.1,SW(230),25.9,,Mostly Cloudy
13/03/2016 15:53,9.4,5,74,1000.3,16.1,SW(220),20.4,,Overcast
13/03/2016 16:53,9.4,5,74,1001.4,16.1,WSW(240),18.5,,Overcast
13/03/2016 17:53,9.4,4.4,71,1001.4,16.1,SSW(200),9.3,,Mostly Cloudy
13/03/2016 18:53,8.9,5,77,1001.4,16.1,SE(140),7.4,,Mostly Cloudy
13/03/2016 19:53,8.9,4.4,74,1001.7,16.1,SE(140),11.1,,Mostly Cloudy
13/03/2016 20:53,8.3,4.4,77,1002,16.1,South(190),20.4,,Overcast
13/03/2016 21:53,7.8,3.9,76,1003,16.1,SSW(210),11.1,Rain,Light Rain
13/03/2016 22:53,6.7,3.9,82,1003.7,16.1,SSW(200),18.5,,Mostly Cloudy
13/03/2016 23:53,6.7,3.3,79,1004.4,16.1,SSW(200),22.2,,Overcast
14/03/2016 00:53,6.1,2.8,80,1005.8,16.1,SSW(200),22.2,,Mostly Cloudy
14/03/2016 01:53,6.1,3.3,82,1006.8,16.1,South(190),22.2,,Mostly Cloudy
14/03/2016 03:53,6.1,3.9,86,1007.8,16.1,SSW(200),16.7,Rain,Light Rain
14/03/2016 03:47,6,3,81,1008.1,16.1,South(190),20.4,,Mostly Cloudy
14/03/2016 03:53,6.1,3.3,82,1008.5,16.1,SSW(200),22.2,,Mostly Cloudy
14/03/2016 04:17,6.1,3.9,86,1008.8,9.7,South(180),14.8,Rain,Light Rain
