Date,Temperature(C),Dewpoint(C),Humidity(%),Barometer(hPa),Visibility(km),Wind Direction(degree),Wind Speed(km/h),Events,Conditions
13/03/2016 00:54,11.7,10.6,93,1017.9,16.1,East (100),5.6,,Overcast
13/03/2016 01:54,11.1,10,93,1017.3,16.1,Calm,,,Overcast
13/03/2016 03:54,10.6,10,96,1016.3,16.1,Calm,,,Mostly Cloudy
13/03/2016 04:54,10,10,100,1016.3,16.1,Calm,,,Mostly Cloudy
13/03/2016 05:54,10.6,10,96,1016.3,16.1,Calm,,,Mostly Cloudy
13/03/2016 06:54,10.6,10,96,1015.9,14.5,SSW (200),5.6,,Mostly Cloudy
13/03/2016 07:54,11.1,10.6,97,1015.9,12.9,South (170),5.6,,Mostly Cloudy
13/03/2016 08:54,13.3,12.8,97,1015.9,16.1,South (180),7.4,,Mostly Cloudy
13/03/2016 09:54,16.1,13.9,87,1015.9,16.1,South (190),11.1,,Overcast
13/03/2016 10:54,18.3,14.4,78,1015.6,16.1,SW (220),7.4,,Overcast
13/03/2016 11:54,20.6,14.4,68,1015.2,16.1,Calm,,,Overcast
13/03/2016 12:54,21.7,15,66,1014.6,16.1,North (10),5.6,,Mostly Cloudy
13/03/2016 13:54,22.8,15,61,1013.9,16.1,Calm,,,Mostly Cloudy
13/03/2016 14:54,23.3,15.6,62,1013.2,16.1,NNE (20),16.7,,Mostly Cloudy
13/03/2016 15:54,22.8,15.6,64,1012.9,16.1,NE (50),16.7,,Mostly Cloudy
13/03/2016 16:54,22.8,15,61,10125,16.1,NNE (30),18.5,,Overcast
13/03/2016 17:54,20,14.4,70,1012.9,16.1,ENE (60),20.4,,Overcast
13/03/2016 18:54,17.2,14.4,84,1013.2,12.9,ENE (70),18.5,Rain,Light Rain
13/03/2016 19:28,15.6,14.4,93,1013.2,6.4,ENE (60),22.2,Rain,Light Rain
13/03/2016 19:54,15,14.4,96,1013.9,8,ENE (60),18.5,Rain,Light Rain
13/03/2016 20:54,13.3,12.8,97,1013.9,6.4,ENE (70),16.7,Rain,Light Rain
13/03/2016 21:02,13.3,12.8,97,1013.5,4.8,ENE (70),22.2,Rain,Light Rain
13/03/2016 21:37,12.8,12.2,96,1013.2,3.2,ENE (70),11.1,Rain,Light Rain
13/03/2016 21:54,12.2,12.2,100,1013.5,4,ENE (70),16.7,Rain,Light Rain
13/03/2016 22:26,12.2,12.2,100,1012.9,1.9,ENE (70),14.8,Rain,Overcast
13/03/2016 22:54,12.2,12.2,100,1013.2,1.3,ENE (70),11.1,,Overcast
13/03/2016 23:54,12.2,12.2,100,1013.5,0.8,North (10),11.1,Fog,Fog
14/03/2016 00:54,12.2,12.2,100,1012.9,1.3,NNE(30),11.1,,Overcast
14/03/2016 01:20,12.2,11.7,97,1012.5,2.4,North(350),13,,Overcast
14/03/2016 01:54,11.7,11.7,100,1012.9,1.6,North(350),14.8,Rain,Light Rain
14/03/2016 03:54,11.1,11.1,100,1012.9,1.3,NNW(330),9.3,Rain,Rain
14/03/2016 03:33,11.1,11.1,100,1011.5,2.4,NNE(30),11.1,,Overcast
14/03/2016 03:54,10.6,10.6,100,1012.5,4,NNW(340),13,,Overcast
14/03/2016 04:54,10,10,100,1012.2,2.4,North(350),18.5,,Overcast
14/03/2016 05:54,10,10,100,1011.9,4,North(360),14.8,,Overcast
14/03/2016 06:21,10,10,100,1011.9,4.8,North(360),16.7,,Overcast
14/03/2016 06:54,10,10,100,1012.9,4.8,North(350),13,,Overcast
14/03/2016 07:06,10,10,100,1012.5,1.6,NNW(340),13,,Overcast
14/03/2016 07:54,10,10,100,1013.5,1.3,North(10),14.8,,Overcast
14/03/2016 08:54,10,10,100,1013.9,0.8,NNE(30),13,Fog,Light Drizzle
14/03/2016 09:54,10,10,100,1014.2,0.8,NNW(340),9.3,Fog,Light Drizzle
14/03/2016 10:04,10,10,100,1013.5,1.6,NNW(340),9.3,,Light Drizzle
14/03/2016 10:51,11,10,94,1013.5,3.2,North(360),11.1,,Overcast
14/03/2016 10:54,10.6,10,96,1014.2,3.2,North(350),9.3,,Overcast
14/03/2016 11:54,11.7,10.6,93,1013.9,4.8,Variable,5.6,,Overcast
14/03/2016 12:16,11.7,10.6,93,1013.5,6.4,NNE(30),9.3,,Overcast
14/03/2016 12:54,11.7,10.6,93,1013.9,6.4,NNW(330),7.4,,Overcast
14/03/2016 13:54,12.2,10.6,90,1013.2,11.3,North(360),7.4,,Overcast
14/03/2016 14:54,12.8,10.6,86,1012.5,16.1,NW(320),11.1,,Overcast
14/03/2016 15:54,13.9,11.1,83,1011.5,16.1,North(350),14.8,,Overcast
14/03/2016 16:54,13.3,10.6,84,1011.2,16.1,NNW(340),14.8,,Overcast
14/03/2016 17:37,12.8,10.6,86,1010.5,16.1,North(10),13,,Overcast
