Local Time,Temperature (C),Dewpoint  (C),Humidity (%),Barometer (hPa),Visibility (km),Wind Direction (degree),Wind Speed (km),Events,Conditions
13/03/2016 12:00,24.4,20,71,1020,25.7,NNE (30),16.7,,Partly Cloudy
13/03/2016 00:00,24,20,78,1019,10,NNE (30),16.7,,Partly Cloudy
13/03/2016 00:30,25,20,74,1019,10,NNE (20),20.4,,Partly Cloudy
13/03/2016 01:00,24.4,20,70,1019.3,,NNE (20),20.4,,
13/03/2016 01:00,24,20,78,1019,10,NNE (20),20.4,,Partly Cloudy
13/03/2016 01:30,24,20,78,1019,10,NNE (20),20.4,,Partly Cloudy
13/03/2016 02:00,24.4,20,70,1019,,NNE (30),14.8,,
13/03/2016 02:00,24,20,78,1017.9,,NNE (30),14.8,,Clear
13/03/2016 02:30,24,20,78,1017.9,,NNE (30),14.8,,Clear
13/03/2016 03:00,23.9,19.4,71,1019,30.6,NNE (20),14.8,,Partly Cloudy
13/03/2016 03:00,24,20,78,1017.9,,NNE (20),14.8,,Clear
13/03/2016 03:30,24,20,78,1017.9,,NNE (30),16.7,,Clear
13/03/2016 04:00,23.3,19.4,74,1019,,NNE (30),16.7,,
13/03/2016 04:00,24,20,78,1017.9,,NNE (30),16.7,,Clear
13/03/2016 04:30,23,20,83,1017.9,,NNE (30),16.7,,Clear
13/03/2016 05:00,23.3,19.4,73,1019,,NNE (20),14.8,,
13/03/2016 05:00,24,19,73,1017.9,,NNE (20),14.8,,Clear
13/03/2016 05:30,24,19,73,1017.9,,NNE (30),16.7,,Clear
13/03/2016 06:00,23.3,18.3,67,1019,30.6,NNE (30),16.7,,Partly Cloudy
13/03/2016 06:00,24,19,73,1017.9,10,NNE (30),16.7,,Mostly Cloudy
13/03/2016 06:30,24,19,73,1019,10,NNE (30),14.8,,Mostly Cloudy
13/03/2016 07:00,23.9,18.3,64,1020,,North (10),11.1,,
13/03/2016 07:00,24,18,69,1019,10,North (10),11.1,,Scattered Clouds
13/03/2016 07:30,24,18,69,1019,10,NNE (20),14.8,,Mostly Cloudy
13/03/2016 08:00,25,18.3,58,1020.3,,NNE (20),13,,
13/03/2016 08:00,25,18,65,1020,10,NNE (20),13,,Mostly Cloudy
13/03/2016 08:30,26,18,61,1020,10,NNE (30),16.7,,Mostly Cloudy
13/03/2016 09:00,26.7,18.3,51,1020.7,25.7,NNE (30),18.5,,Partly Cloudy
13/03/2016 09:00,26,18,61,1020,10,NNE (30),18.5,,Scattered Clouds
13/03/2016 09:30,27,18,58,1020,10,NNE (20),20.4,,Scattered Clouds
13/03/2016 10:00,27.2,17.2,45,1020.7,,NNE (30),24.1,,
13/03/2016 10:00,27,17,54,1020,10,NNE (30),24.1,,Scattered Clouds
13/03/2016 10:30,28,17,51,1020,10,NNE (30),29.6,,Mostly Cloudy
13/03/2016 11:00,27.8,17.2,43,1020.3,,NNE (30),27.8,,
13/03/2016 11:00,28,17,51,1020,10,NNE (30),27.8,,Mostly Cloudy
13/03/2016 11:30,27,17,54,1020,10,NNE (30),27.8,,Mostly Cloudy
13/03/2016 12:00,27.2,16.7,42,1020,25.7,NNE (30),27.8,,Partly Cloudy
13/03/2016 12:00,27,17,54,1020,10,NNE (30),27.8,,Mostly Cloudy
13/03/2016 12:30,28,16,48,1019,10,NE (40),27.8,,Mostly Cloudy
13/03/2016 13:00,29.4,16.1,34,1019.3,,NE (50),27.8,,
13/03/2016 13:00,30,16,43,1019,10,NE (50),27.8,,Mostly Cloudy
13/03/2016 13:30,28,15,45,1019,10,NE (50),25.9,,Mostly Cloudy
13/03/2016 14:00,28.9,16.7,37,1019,,NE (40),27.8,,
13/03/2016 14:00,29,16,45,1017.9,10,NE (40),27.8,,Mostly Cloudy
13/03/2016 14:30,28,16,48,1017.9,10,ENE (70),29.6,,Mostly Cloudy
13/03/2016 15:00,28.3,17.2,41,1017.9,25.7,ENE (60),31.5,,Partly Cloudy
13/03/2016 15:00,29,17,48,1017.3,10,ENE (60),31.5,,Mostly Cloudy
13/03/2016 15:30,28,19,58,1017.3,10,ENE (60),27.8,,Mostly Cloudy
13/03/2016 16:00,27.2,18.3,49,1017.3,,NE (50),27.8,,
13/03/2016 16:00,27,18,58,1017.3,10,NE (50),27.8,,Mostly Cloudy
13/03/2016 16:30,27,19,61,1016.3,10,NE (50),24.1,,Mostly Cloudy
13/03/2016 17:00,27.2,19.4,53,1016.6,,NE (50),25.9,,
13/03/2016 17:00,27,19,61,1016.3,10,NE (50),25.9,,Mostly Cloudy
13/03/2016 17:30,26,19,65,1016.3,10,ENE (60),25.9,,Mostly Cloudy
13/03/2016 18:00,26.7,18.9,54,1016.6,30.6,NE (50),29.6,,Partly Cloudy
