Local Time,Temperature (C),Dewpoint  (C),Humidity (%),Barometer (hPa),Visibility (km),Wind Direction (degree),Wind Speed (km),Events,Conditions
13/03/2016 00:00,7,2,71,1025.1,10,NNE (20),18.5,,Mostly Cloudy
13/03/2016 00:30,7,1,66,1025.1,10,North (10),20.4,,Mostly Cloudy
13/03/2016 01:00,7,2,71,1025.1,10,North (10),18.5,,Mostly Cloudy
13/03/2016 01:30,7,2,71,1025.1,10,North (10),20.4,,Scattered Clouds
13/03/2016 02:00,7,2,71,1025.1,10,NNE (20),20.4,,Mostly Cloudy
13/03/2016 02:30,6,2,76,1024,10,North (360),20.4,,Mostly Cloudy
13/03/2016 03:00,6,1,70,1024,10,North (360),18.5,,Mostly Cloudy
13/03/2016 03:30,6,2,76,1024,10,North (360),18.5,,Mostly Cloudy
13/03/2016 04:00,6,1,70,1025.1,10,North (360),16.7,,Mostly Cloudy
13/03/2016 04:30,6,1,70,1025.1,10,North (360),18.5,,Mostly Cloudy
13/03/2016 05:00,6,1,70,1025.1,10,North (350),16.7,,Mostly Cloudy
13/03/2016 05:30,6,1,70,1025.1,10,North (350),16.7,,Mostly Cloudy
13/03/2016 06:00,6,1,70,1025.1,10,North (360),16.7,,Mostly Cloudy
13/03/2016 06:30,6,1,70,1026.1,10,North (360),18.5,,Mostly Cloudy
13/03/2016 07:00,6,1,70,1026.1,10,North (360),16.7,,Mostly Cloudy
13/03/2016 07:30,6,1,70,1026.1,10,North (350),16.7,,Mostly Cloudy
13/03/2016 08:00,6,1,70,1026.1,10,North (360),20.4,,Overcast
13/03/2016 08:30,7,1,66,1026.1,10,North (10),16.7,,Mostly Cloudy
13/03/2016 09:00,7,2,71,1027.1,10,North (360),16.7,,Mostly Cloudy
13/03/2016 09:30,7,2,71,1026.1,10,North (10),18.5,,Mostly Cloudy
13/03/2016 10:00,8,1,62,1026.1,10,NNE (20),18.5,,Mostly Cloudy
13/03/2016 10:30,8,1,62,1025.1,10,NNE (30),18.5,,Mostly Cloudy
13/03/2016 11:00,8,2,66,1025.1,10,NE (40),16.7,,Mostly Cloudy
13/03/2016 11:30,8,2,66,1024,10,NE (50),14.8,,Mostly Cloudy
13/03/2016 12:00,8,3,71,1024,10,NE (50),14.8,,Mostly Cloudy
13/03/2016 12:30,8,3,71,1024,10,NE (50),13,,Mostly Cloudy
13/03/2016 13:00,9,3,66,1024,10,NE (40),14.8,,Mostly Cloudy
13/03/2016 13:30,9,3,66,1024,10,NE (50),14.8,,Mostly Cloudy
13/03/2016 14:00,9,4,71,1024,10,NE (50),18.5,,Mostly Cloudy
13/03/2016 14:30,9,4,71,1023,10,ENE (60),18.5,,Mostly Cloudy
13/03/2016 15:00,9,4,71,1023,10,NE (50),18.5,,Mostly Cloudy
13/03/2016 15:30,8,4,76,1023,10,NE (50),18.5,,Mostly Cloudy
13/03/2016 16:00,8,4,76,1022,10,ENE (60),18.5,,Mostly Cloudy
13/03/2016 16:30,8,4,76,1022,10,NE (40),18.5,,Mostly Cloudy
13/03/2016 17:00,8,4,76,1022,10,NE (50),16.7,,Mostly Cloudy
13/03/2016 17:30,8,4,76,1022,10,NNE (30),18.5,,Mostly Cloudy
13/03/2016 18:00,8,4,76,1022,10,NNE (30),18.5,,Mostly Cloudy
13/03/2016 18:30,8,3,71,1022,10,NNE (30),18.5,,Mostly Cloudy
13/03/2016 19:00,8,3,71,1021,10,NNE (30),20.4,,Mostly Cloudy
13/03/2016 19:30,8,3,71,1021,10,NNE (20),20.4,,Mostly Cloudy
13/03/2016 20:00,8,3,71,1022,10,North (360),18.5,,Mostly Cloudy
13/03/2016 20:30,8,3,71,1021,10,North (10),18.5,,Mostly Cloudy
13/03/2016 21:00,8,3,71,1022,10,North (360),14.8,,Mostly Cloudy
13/03/2016 21:30,8,4,76,1022,10,North (360),18.5,,Mostly Cloudy
13/03/2016 22:00,8,4,76,1021,10,North (360),20.4,,Mostly Cloudy
13/03/2016 22:30,8,4,76,1020,10,NNE (20),24.1,,Mostly Cloudy
13/03/2016 23:00,8,4,76,1020,10,North (10),25.9,,Mostly Cloudy
13/03/2016 23:30,8,3,71,1019,10,NNE (20),24.1,,Mostly Cloudy
14/03/2016 00:00,8,3,71,1019,10,NNE (20),24.1,,Mostly Cloudy
14/03/2016 00:30,7,3,76,1017.9,10,North (360),24.1,,Mostly Cloudy
14/03/2016 01:00,7,3,76,1019,10,North (360),24.1,,Mostly Cloudy
14/03/2016 01:30,7,3,76,1017.9,10,North (360),16.7,,Mostly Cloudy
14/03/2016 02:00,7,3,76,1017.9,10,North (10),20.4,,Mostly Cloudy
14/03/2016 02:30,7,3,76,1017.9,10,North (10),18.5,,Mostly Cloudy
14/03/2016 03:00,7,3,76,1017.3,10,North (10),16.7,,Mostly Cloudy
14/03/2016 03:30,7,3,76,1017.3,10,NE (40),14.8,,Mostly Cloudy
14/03/2016 04:00,7,3,76,1017.3,10,NNE (30),14.8,,Mostly Cloudy
14/03/2016 04:30,7,3,76,1017.3,10,NNE (30),16.7,,Mostly Cloudy
14/03/2016 05:00,7,3,76,1017.3,10,NNE (20),16.7,,Mostly Cloudy
14/03/2016 05:30,7,3,76,1017.3,10,NNE (30),14.8,Rain,Light Rain
14/03/2016 06:00,7,4,81,1017.3,10,North (360),18.5,Rain,Light Rain
14/03/2016 06:30,6,4,87,1017.3,8,North (350),14.8,Rain,Light Rain
14/03/2016 07:00,6,4,87,1017.3,6.9,North (350),14.8,Rain,Light Rain
14/03/2016 07:30,6,5,93,1017.3,8,North (350),13,Rain,Light Rain
14/03/2016 08:00,6,5,93,1016.3,6.9,NNW (340),16.7,Rain,Light Rain
14/03/2016 08:23,7,5,87,1016.3,6.9,NNW (340),16.7,Rain,Light Rain
14/03/2016 08:30,7,5,87,1016.3,6.9,NNW (340),16.7,Rain,Light Rain
14/03/2016 08:49,6,5,93,1016.3,5,NNW (340),18.5,Rain,Light Rain
14/03/2016 09:00,6,5,93,1016.3,4.5,NNW (340),22.2,Rain,Light Rain
14/03/2016 09:16,6,5,93,1016.3,5,NNW (340),22.2,Rain,Light Rain
14/03/2016 09:30,6,5,93,1016.3,5,NNW (340),22.2,Rain,Light Rain
14/03/2016 10:00,6,5,93,1016.3,5,NNW (340),20.4,Rain,Light Rain
14/03/2016 10:30,6,5,93,1016.3,5,NNW (340),24.1,Rain,Light Rain
14/03/2016 11:00,7,5,87,1015.2,5,NNW (340),22.2,Rain,Light Rain
14/03/2016 11:11,7,5,87,1015.2,6,NNW (340),24.1,Rain,Light Rain
14/03/2016 11:30,7,5,87,1015.2,6,NNW (340),22.2,Rain,Light Rain
14/03/2016 11:37,7,6,93,1014.2,5,NNW (340),20.4,Rain,Light Rain
14/03/2016 12:00,7,6,93,1014.2,5,North (350),22.2,Rain,Light Rain
14/03/2016 12:30,7,6,93,1013.2,5,North (350),22.2,Rain,Light Rain
14/03/2016 13:00,7,6,93,1012.2,5,North (350),22.2,Rain,Light Rain
14/03/2016 13:30,7,6,93,1012.2,5,North (350),22.2,Rain,Light Rain
14/03/2016 13:40,7,6,93,1012.2,4.5,North (350),20.4,Rain,Light Rain
14/03/2016 14:00,7,6,93,1012.2,4.5,North (350),20.4,Rain,Rain
14/03/2016 14:15,7,7,100,1012.2,4.5,North (360),22.2,Rain,Light Rain
14/03/2016 14:30,8,7,93,1011.2,5,North (360),24.1,Rain,Rain
14/03/2016 15:00,7,7,100,1011.2,5,North (360),22.2,Rain,Rain
14/03/2016 15:14,8,6,87,1011.2,5,North (360),25.9,Rain,Rain
14/03/2016 15:30,7,6,93,1011.2,5,North (10),27.8,Rain,Rain
14/03/2016 15:47,7,6,93,1011.2,6,NNE (20),29.6,Rain,Rain
14/03/2016 16:00,7,6,93,1011.2,6.9,NNE (20),29.6,Rain,Rain
14/03/2016 16:30,7,6,93,1011.2,6.9,NNE (30),29.6,Rain,Rain
