Local Time,Temperature (C),Dewpoint  (C),Humidity (%),Barometer (hPa),Visibility (km),Wind Direction (degree),Wind Speed (km),Events,Conditions
13/03/2016 00:00,8,0,57,1018.3,24.1,WNW (290),11.1,,Scattered Clouds
13/03/2016 00:00,5,-4,53,1014.2,24.1,East (100),29.6,,Overcast
13/03/2016 01:00,7,0,61,1018.3,24.1,WNW (290),11.1,,Scattered Clouds
13/03/2016 01:00,6.7,0.6,54,1018.3,24.1,WNW (290),11.1,,Clear
13/03/2016 03:00,7,1,66,1018.3,24.1,NW (320),14.8,,Scattered Clouds
13/03/2016 04:00,6,1,70,1018.6,24.1,North (350),16.7,,Scattered Clouds
13/03/2016 05:00,5,1,76,1019,24.1,North (10),16.7,,Partly Cloudy
13/03/2016 06:00,5,1,76,1019.6,24.1,NNE (30),9.3,,Partly Cloudy
13/03/2016 07:00,5,1,76,1019.6,24.1,NE (40),9.3,,Mostly Cloudy
13/03/2016 08:00,4,0,75,1020,24.1,NNE (30),7.4,,Overcast
13/03/2016 08:00,4.4,0,65,1020.3,24.1,NNE (30),9.3,,Overcast
13/03/2016 09:00,6,0,66,1020.7,24.1,East (80),11.1,,Mostly Cloudy
13/03/2016 10:00,7,-1,57,1021,24.1,East (90),25.9,,Mostly Cloudy
13/03/2016 11:00,6,-3,53,1021,24.1,East (90),25.9,,Overcast
13/03/2016 12:00,7,-3,49,1021,24.1,East (100),20.4,,Overcast
13/03/2016 13:00,7,-4,46,1020.7,24.1,East (80),25.9,,Overcast
13/03/2016 14:00,7,-4,46,1020,24.1,East (90),25.9,,Overcast
13/03/2016 14:00,6.7,-3.9,35,1020,24.1,East (90),25.9,,Overcast
13/03/2016 15:00,7,-4,46,1019,24.1,East (90),16.7,,Overcast
13/03/2016 16:00,7,-8,34,1017.9,24.1,East (90),29.6,,Mostly Cloudy
13/03/2016 17:00,8,-12,23,1017.3,24.1,East (100),37,,Mostly Cloudy
13/03/2016 18:00,8,-7,34,1017.3,24.1,East (100),22.2,,Mostly Cloudy
13/03/2016 19:00,7,-7,37,1016.9,24.1,East (90),24.1,,Overcast
13/03/2016 20:00,7,-6,39,1016.6,24.1,East (100),24.1,,Overcast
13/03/2016 20:00,6.7,-6.1,27,1016.6,24.1,East (90),24.1,,Overcast
13/03/2016 21:00,7,-6,39,1016.3,24.1,East (90),24.1,,Overcast
13/03/2016 22:00,6,-4,49,1015.6,24.1,East (90),22.2,,Overcast
13/03/2016 23:00,6,-4,49,1015.2,24.1,East (90),25.9,,Overcast
14/03/2016 00:00,5,-4,53,1014.2,24.1,East (100),29.6,,Overcast
14/03/2016 01:00,5,-3,57,1013.5,24.1,East (90),29.6,,Overcast
14/03/2016 02:00,3.9,0,66,1012.5,24.1,East (90),27.8,,Overcast
14/03/2016 02:00,4,0,75,1012.5,24.1,East (80),25.9,,Overcast
14/03/2016 02:11,4,1,81,1012.2,19.3,East (90),20.4,Rain,Light Rain
14/03/2016 03:00,4,2,87,1011.5,16.1,East (90),16.7,Rain,Light Rain
14/03/2016 04:00,4,3,93,1010.5,12.9,East (100),20.4,Rain,Light Rain
14/03/2016 05:00,5,4,93,1009.8,12.9,East (100),20.4,Rain,Light Rain
14/03/2016 06:00,5,4,93,1009.5,12.9,East (90),24.1,Rain,Light Rain
14/03/2016 06:13,5,4,93,1009.5,8,East (90),24.1,Rain,Light Rain
14/03/2016 07:00,5,4,93,1009.1,4.8,East (90),20.4,Rain,Light Rain
14/03/2016 07:35,6,5,93,1009.1,3.5,East (100),18.5,Rain,Light Rain
14/03/2016 08:00,5.6,5,95,1009.5,3.2,East (90),14.8,Rain,Light Rain
14/03/2016 08:00,6,5,93,1009.1,4,East (100),14.8,Rain,Light Rain
14/03/2016 08:06,6,5,93,1009.1,4.8,East (100),14.8,Rain,Light Rain
14/03/2016 08:44,5,5,100,1009.1,3.2,East (80),22.2,Rain,Light Rain
14/03/2016 09:00,6,5,93,1009.1,2.4,East (100),22.2,Rain,Light Rain
14/03/2016 09:09,6,5,93,1009.1,1.9,East (100),18.5,Rain,Light Rain
14/03/2016 09:47,6,5,93,1009.1,2.4,East (100),16.7,,Light Drizzle
14/03/2016 10:00,6,5,93,1009.1,1.6,East (100),14.8,,Light Drizzle
14/03/2016 11:00,7,7,100,1008.8,1.6,East (90),14.8,,Light Drizzle
14/03/2016 11:45,8,8,100,1008.5,2.4,ESE (120),13,,Light Drizzle
14/03/2016 12:00,8,7,93,1008.5,2.4,East (100),11.1,,Light Drizzle
14/03/2016 12:18,8,8,100,1008.5,8,ESE (110),14.8,,Overcast
14/03/2016 12:43,8,7,93,1008.5,3.2,ESE (110),14.8,,Light Drizzle
14/03/2016 12:52,8,7,93,1008.5,4.8,ESE (120),11.1,,Light Drizzle
14/03/2016 13:00,8,7,93,1008.5,3.2,ESE (110),14.8,,Light Drizzle
14/03/2016 13:06,8,7,93,1008.5,8,East (100),11.1,,Light Drizzle
14/03/2016 13:28,8,8,100,1008.5,4.8,ESE (120),9.3,Rain,Light Rain
14/03/2016 13:40,8,7,93,1008.5,6.4,South (180),7.4,Rain,Light Rain
14/03/2016 14:00,8.3,7.2,92,1008.5,4.8,ESE (120),9.3,Rain,Light Rain
14/03/2016 14:00,8,7,93,1008.5,4.8,SE (130),7.4,Rain,Light Rain
14/03/2016 14:14,8,7,93,1008.1,4.8,East (100),9.3,Rain,Light Rain
14/03/2016 15:00,8,8,100,1007.8,8,East (100),11.1,,Light Drizzle
14/03/2016 15:45,9,8,93,1007.5,9.7,ESE (120),11.1,,Light Drizzle
14/03/2016 16:00,9,8,93,1007.5,11.3,ESE (110),13,,Light Drizzle
14/03/2016 16:11,9,8,93,1007.1,12.9,ESE (110),9.3,,Overcast
14/03/2016 16:41,9,8,93,1006.8,12.9,East (90),11.1,,Overcast
14/03/2016 17:00,9,8,93,1006.8,16.1,East (90),9.3,,Overcast
14/03/2016 17:11,9,8,93,1006.8,16.1,East (100),9.3,,Overcast
14/03/2016 18:00,9,8,93,1006.8,19.3,ESE (110),7.4,,Overcast
14/03/2016 19:00,9,8,93,1006.4,16.1,East (100),13,,Overcast
14/03/2016 20:00,8.3,7.2,91,1006.8,19.3,East (100),9.3,,Partly Cloudy
14/03/2016 20:00,8,7,93,1006.8,19.3,ESE (110),9.3,,Overcast
14/03/2016 21:00,9,7,87,1007.1,24.1,East (80),7.4,,Overcast
14/03/2016 22:00,9,7,87,1007.1,24.1,East (90),7.4,,Overcast
14/03/2016 23:00,8,7,93,1007.5,24.1,ESE (110),5.6,,Overcast
15/03/2016 00:00,8,6,87,1007.8,24.1,SSE (150),7.4,,Overcast
15/03/2016 01:00,8,6,87,1007.5,24.1,SE (130),7.4,,Overcast
15/03/2016 02:00,7.8,6.1,84,1007.5,19.3,SE (140),5.6,Rain,Light Rain
15/03/2016 02:00,8,6,87,1007.5,19.3,SE (140),5.6,Rain,Light Rain
15/03/2016 03:00,7,6,93,1006.4,19.3,ENE (60),5.6,Rain,Light Rain
15/03/2016 04:00,7,6,93,1006.8,19.3,SE (130),9.3,Rain,Light Rain
15/03/2016 05:00,7,6,93,1007.1,8,SE (140),7.4,Rain,Light Rain
15/03/2016 06:00,7,6,93,1007.5,8,Calm,,Rain,Light Rain
15/03/2016 06:27,7,6,93,1007.8,6.4,NW (320),7.4,Rain,Light Rain
15/03/2016 07:00,7,6,93,1007.8,8,North (10),9.3,Rain,Light Rain
15/03/2016 07:27,7,6,93,1008.1,14.5,North (360),14.8,Rain,Light Rain
15/03/2016 08:00,6.7,6.1,94,1008.5,11.3,North (350),14.8,Rain,Light Rain
15/03/2016 08:00,7,6,93,1008.5,11.3,North (350),14.8,Rain,Light Rain
15/03/2016 08:40,7,6,93,1008.5,9.7,North (360),16.7,,Light Drizzle
15/03/2016 09:00,7,6,93,1008.8,6.4,North (360),16.7,,Light Drizzle
15/03/2016 09:25,7,6,93,1008.8,8,North (10),16.7,,Light Drizzle
15/03/2016 10:00,7,6,93,1008.8,11.3,North (360),14.8,,Light Drizzle
15/03/2016 10:45,7,5,87,1009.8,24.1,North (360),14.8,,Overcast
15/03/2016 11:00,7,5,87,1010.2,24.1,North (360),18.5,,Overcast
15/03/2016 11:32,7,5,87,1010.2,24.1,North (350),22.2,,Overcast
15/03/2016 12:00,7,5,87,1010.5,19.3,North (350),18.5,,Overcast
15/03/2016 13:00,7,5,87,1010.5,24.1,North (360),22.2,,Overcast
15/03/2016 13:46,8,5,81,1010.5,24.1,North (360),18.5,,Overcast
15/03/2016 14:00,8.3,5,73,1010.5,24.1,North (350),18.5,,Partly Cloudy
15/03/2016 14:00,8,5,81,1010.5,24.1,NNW (340),20.4,,Overcast
15/03/2016 15:00,9,5,76,1010.2,24.1,North (360),14.8,,Mostly Cloudy
15/03/2016 15:52,9,5,76,1010.2,24.1,NNW (330),22.2,,Mostly Cloudy
15/03/2016 16:00,9,5,76,1010.2,24.1,NNW (340),18.5,,Mostly Cloudy
15/03/2016 17:00,9,5,76,1010.5,24.1,North (350),14.8,,Mostly Cloudy
15/03/2016 18:00,9,4,71,1010.5,24.1,NNE (20),14.8,,Mostly Cloudy
15/03/2016 19:00,8,4,76,1011.2,24.1,NE (40),16.7,,Mostly Cloudy
15/03/2016 20:00,6.7,3.3,73,1012.2,24.1,NNE (20),14.8,,Mostly Cloudy
