Local Time,Temperature (C),Dewpoint  (C),Humidity (%),Barometer (hPa),Visibility (km),Wind Direction (degree),Wind Speed (km),Events,Conditions
13/03/2016 00:00,6,3,81,1004.7,19.3,SE (130),18.5,,Mostly Cloudy
13/03/2016 00:00,7,3,76,998.3,16.1,South (190),25.9,,Mostly Cloudy
13/03/2016 01:00,7,4,81,1004.7,19.3,SE (130),22.2,,Mostly Cloudy
13/03/2016 03:00,7,3,76,1004.4,19.3,ESE (120),25.9,,Overcast
13/03/2016 04:00,7,3,76,1003.4,19.3,ESE (110),31.5,,Overcast
13/03/2016 04:13,7,3,76,1003,16.1,ESE (110),27.8,Rain,Light Rain Showers
13/03/2016 05:00,6.1,2.8,72,1002.4,16.1,East (80),18.5,Rain,Light Rain Showers
13/03/2016 05:00,6,3,81,1002.4,16.1,East (80),20.4,Rain,Light Rain Showers
13/03/2016 06:00,6,3,81,1001.4,12.9,East (80),25.9,Rain,Light Rain Showers
13/03/2016 07:00,5,3,87,1000.7,16.1,East (90),25.9,Rain,Light Rain
13/03/2016 08:00,5,3,87,999,16.1,ENE (70),24.1,Rain,Light Rain
13/03/2016 08:50,6,3,81,997.3,24.1,ENE (70),24.1,,Overcast
13/03/2016 09:00,6,3,81,997,24.1,East (80),29.6,,Overcast
13/03/2016 10:00,7,2,71,994.6,32.2,ENE (70),35.2,,Overcast
13/03/2016 11:00,7.8,3.3,64,992.2,30.6,East (90),16.7,,Partly Cloudy
13/03/2016 11:00,8,3,71,992.2,32.2,ESE (110),16.7,,Overcast
13/03/2016 11:56,7,4,81,990.9,24.1,ESE (120),14.8,Rain,Light Rain
13/03/2016 12:00,7,4,81,991.2,24.1,ENE (60),11.1,Rain,Light Rain
13/03/2016 13:00,7,3,76,990.9,19.3,East (100),24.1,Rain,Light Rain
13/03/2016 14:00,6,4,87,989.5,11.3,East (80),40.7,Rain,Light Rain
13/03/2016 15:00,6,4,87,986.5,19.3,ENE (70),33.3,Rain,Light Rain
13/03/2016 16:00,7,5,87,986.1,9.7,East (80),40.7,Rain,Light Rain
13/03/2016 17:00,8,5,81,986.1,12.9,East (100),33.3,Rain,Light Rain
13/03/2016 17:00,7.8,5.6,79,986.5,11.3,East (90),31.5,Rain,Light Rain
13/03/2016 18:00,7,4,81,986.8,8,SSE (150),35.2,Rain,Light Rain
13/03/2016 19:00,7,5,87,988.5,8,SW (230),25.9,Rain,Light Rain
13/03/2016 19:50,6,4,87,991.2,12.9,West (270),46.3,,Overcast
13/03/2016 20:00,5,4,93,992.2,12.9,West (270),37,,Mostly Cloudy
13/03/2016 20:32,5,4,93,993.9,12.9,West (260),25.9,Rain,Light Rain Showers
13/03/2016 20:53,5,4,93,994.6,12.9,WSW (250),13,,Overcast
13/03/2016 21:00,5,4,93,994.9,12.9,WSW (250),13,,Overcast
13/03/2016 21:29,6,4,87,995.9,12.9,SW (230),7.4,Rain,Light Rain Showers
13/03/2016 22:00,7,4,81,996.3,12.9,South (180),25.9,Rain,Light Rain Showers
13/03/2016 23:00,6.7,3.3,73,997.6,11.3,South (180),25.9,Rain,Light Rain Showers
13/03/2016 23:00,7,3,76,997.3,12.9,South (180),25.9,Rain,Light Rain Showers
13/03/2016 23:06,7,3,76,997.3,12.9,South (180),25.9,,Overcast
14/03/2016 00:00,7,3,76,998.3,16.1,South (190),25.9,,Mostly Cloudy
14/03/2016 01:00,7,2,71,999.3,16.1,SSW (200),33.3,,Mostly Cloudy
14/03/2016 02:00,6,4,87,1000.3,19.3,South (180),18.5,,Mostly Cloudy
14/03/2016 03:00,6,3,81,1001.4,19.3,South (180),18.5,,Overcast
14/03/2016 03:51,6,3,81,1002,12.9,South (170),16.7,Rain,Light Rain Showers
14/03/2016 04:00,6,3,81,1002.4,12.9,South (170),16.7,Rain,Light Rain Showers
14/03/2016 05:00,5.6,3.3,80,1003.4,11.3,SSE (160),5.6,Rain,Light Rain Showers
14/03/2016 05:00,6,3,81,1003.4,12.9,SSE (150),5.6,Rain,Light Rain Showers
14/03/2016 06:00,6,4,87,1004.1,12.9,SSE (150),9.3,Rain,Light Rain Showers
14/03/2016 06:48,6,4,87,1004.7,19.3,South (170),14.8,,Overcast
14/03/2016 07:00,6,3,81,1005.1,19.3,South (180),13,,Overcast
14/03/2016 08:00,6,4,87,1005.8,24.1,South (170),13,,Mostly Cloudy
14/03/2016 09:00,6,4,87,1006.8,24.1,SSE (160),11.1,,Mostly Cloudy
14/03/2016 10:00,7,4,81,1007.8,24.1,South (170),13,,Overcast
14/03/2016 11:00,7.8,3.9,69,1009.1,24.1,South (170),18.5,,Partly Cloudy
14/03/2016 11:00,8,4,76,1008.8,24.1,South (170),20.4,,Mostly Cloudy
14/03/2016 12:00,8,5,81,1009.8,24.1,South (170),24.1,,Overcast
14/03/2016 13:00,9,6,82,1010.2,24.1,SSE (160),22.2,,Overcast
14/03/2016 13:17,9,5,76,1010.5,24.1,SSE (160),27.8,Rain,Light Rain Showers
14/03/2016 14:00,8,5,81,1010.8,24.1,South (170),22.2,Rain,Light Rain Showers
14/03/2016 14:33,8,5,81,1010.8,24.1,SSE (160),16.7,,Overcast
14/03/2016 15:00,8,5,81,1011.2,24.1,SSE (160),18.5,,Overcast
14/03/2016 15:05,8,5,81,1011.2,24.1,SSE (160),16.7,Rain,Light Rain Showers
14/03/2016 16:00,7,5,87,1011.9,16.1,SSE (160),14.8,Rain,Light Rain
14/03/2016 16:48,8,5,81,1011.5,19.3,SSE (160),16.7,,Overcast
14/03/2016 17:00,7.8,5,77,1011.9,19.3,SSE (160),14.8,Rain,Light Rain
14/03/2016 17:00,8,5,81,1011.9,19.3,South (170),11.1,,Overcast
14/03/2016 18:00,7,4,81,1012.2,24.1,SSE (160),9.3,,Overcast
14/03/2016 19:00,7,4,81,1012.9,24.1,South (170),18.5,,Mostly Cloudy
14/03/2016 19:07,7,4,81,1012.9,24.1,South (170),14.8,Rain,Light Rain Showers
14/03/2016 20:00,7,3,76,1013.5,24.1,South (190),16.7,Rain,Light Rain Showers
14/03/2016 20:16,7,3,76,1013.9,24.1,South (190),16.7,,Mostly Cloudy
14/03/2016 21:00,7,3,76,1014.2,24.1,South (180),18.5,,Mostly Cloudy
14/03/2016 22:00,7,4,81,1014.9,24.1,South (180),14.8,,Mostly Cloudy
14/03/2016 23:00,6.1,2.8,72,1015.9,24.1,South (190),13,,Partly Cloudy
14/03/2016 23:00,6,3,81,1015.6,24.1,South (190),13,,Mostly Cloudy
15/03/2016 00:00,6,3,81,1016.3,24.1,ESE (110),7.4,,Overcast
15/03/2016 01:00,4,3,93,1017.3,24.1,ESE (110),7.4,,Mostly Cloudy
15/03/2016 02:00,3,2,93,1017.9,24.1,East (80),7.4,,Mostly Cloudy
15/03/2016 03:00,4,3,93,1018.6,24.1,East (80),9.3,,Mostly Cloudy
15/03/2016 03:25,2,1,93,1019,24.1,East (80),9.3,,Scattered Clouds
15/03/2016 04:00,2,1,93,1019.3,24.1,East (90),9.3,,Scattered Clouds
15/03/2016 05:00,1.7,1.1,92,1020,24.1,East (90),11.1,,Scattered Clouds
15/03/2016 05:00,2,1,93,1020,24.1,East (90),11.1,,Mostly Cloudy
15/03/2016 06:00,4,3,93,1020.7,24.1,East (80),14.8,,Mostly Cloudy
15/03/2016 07:00,5,3,87,1021,24.1,East (90),11.1,,Overcast
15/03/2016 07:36,5,3,87,1021.3,19.3,East (90),13,Rain,Light Rain
15/03/2016 08:00,5,3,87,1021.3,24.1,East (90),11.1,Rain,Light Rain
15/03/2016 08:24,5,3,87,1021.7,24.1,East (80),9.3,,Mostly Cloudy
15/03/2016 09:00,6,4,87,1022,24.1,ESE (110),7.4,,Overcast
15/03/2016 09:35,6,4,87,1022.4,24.1,SSE (150),16.7,,Overcast
15/03/2016 10:00,7,4,81,1022.7,24.1,SSE (150),18.5,,Overcast
15/03/2016 11:00,7.2,4.4,77,1023,24.1,SSE (160),25.9,,Partly Cloudy
15/03/2016 11:00,7,5,87,1023,24.1,South (180),27.8,,Overcast
15/03/2016 12:00,7,4,81,1023.4,24.1,SSE (160),20.4,,Overcast
15/03/2016 13:00,9,4,71,1023.4,24.1,SE (140),24.1,,Overcast
15/03/2016 14:00,8,3,71,1023.4,24.1,SSE (150),18.5,,Mostly Cloudy
15/03/2016 15:00,9,4,71,1023.4,24.1,South (170),20.4,,Overcast
15/03/2016 16:00,10,4,66,1023.4,32.2,SSE (160),18.5,,Mostly Cloudy
15/03/2016 17:00,8.9,3.3,58,1023.4,30.6,South (170),16.7,,Mostly Cloudy
15/03/2016 17:00,9,3,66,1023,32.2,South (170),16.7,,Mostly Cloudy
15/03/2016 17:39,9,4,71,1023.4,32.2,South (190),18.5,Rain,Light Rain Showers
15/03/2016 17:56,9,2,62,1023,32.2,South (190),11.1,,Mostly Cloudy
15/03/2016 18:00,9,3,66,1023,32.2,South (180),9.3,,Mostly Cloudy
15/03/2016 19:00,8,4,76,1023,32.2,SSE (150),9.3,,Mostly Cloudy
15/03/2016 19:06,8,3,71,1023,24.1,South (170),7.4,Rain,Light Rain
15/03/2016 19:21,8,4,76,1023,24.1,South (180),14.8,,Mostly Cloudy
15/03/2016 20:00,7,5,87,1023.4,24.1,North (350),14.8,,Mostly Cloudy
15/03/2016 21:00,6,4,87,1024,32.2,NE (40),14.8,,Mostly Cloudy
15/03/2016 22:00,6,3,81,1024.4,32.2,ENE (60),14.8,,Mostly Cloudy
15/03/2016 23:00,5.6,3.3,79,1024.4,30.6,ENE (70),14.8,,Partly Cloudy
15/03/2016 23:00,6,3,81,1024.4,32.2,ENE (70),13,,Mostly Cloudy
16/03/2016 00:00,6,3,81,1024.7,32.2,ENE (60),11.1,,Mostly Cloudy
16/03/2016 01:00,6,3,81,1025.1,32.2,NE (40),11.1,,Mostly Cloudy
16/03/2016 02:00,5,3,87,1025.4,32.2,NW (320),7.4,,Overcast
16/03/2016 03:00,4,3,93,1025.4,32.2,Calm,,,Partly Cloudy
16/03/2016 04:00,4,3,93,1025.7,32.2,Variable,3.7,,Scattered Clouds
16/03/2016 05:00,3.9,3.3,95,1026.1,30.6,North,1.9,,Scattered Clouds
16/03/2016 05:00,4,3,93,1026.1,32.2,Variable,3.7,,Scattered Clouds
16/03/2016 06:00,4,3,93,1026.4,32.2,WNW (300),13,,Partly Cloudy
16/03/2016 06:35,4,2,87,1026.4,32.2,WNW (300),9.3,,Partly Cloudy
16/03/2016 06:47,2,2,100,1026.8,32.2,NNW (330),9.3,,Partly Cloudy
